time_hr,q_solar_kw,t_pcm,pcm_melt,t_boiler,boiler_vol,tds_ppm,total_distilled_L,battery_soc,mineral_ppm
0.0,0.0,25.0,0.0,25.0,5.0,1000.0,0.0,79.99998333333333,0.0
0.016666666666666666,0.0,25.0,0.0,25.0,8.0,1000.0,0.0,79.99991666666666,0.0
0.03333333333333333,0.0,25.0,0.0,25.0,11.0,1000.0,0.0,79.99985,0.0
0.05,0.0,25.0,0.0,25.0,14.0,1000.0,0.0,79.99978333333333,0.0
0.06666666666666667,0.0,25.0,0.0,25.0,17.0,1000.0,0.0,79.99971666666667,0.0
0.08333333333333333,0.0,25.0,0.0,25.0,20.0,1000.0,0.0,79.99965,0.0
0.1,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99958333333333,0.0
0.11666666666666667,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99951666666666,0.0
0.13333333333333333,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.9995,0.0
0.15,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99948333333333,0.0
0.16666666666666666,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99946666666666,0.0
0.18333333333333332,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99945000000001,0.0
0.2,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99943333333334,0.0
0.21666666666666667,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99941666666666,0.0
0.23333333333333334,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.9994,0.0
0.25,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99938333333333,0.0
0.26666666666666666,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99936666666667,0.0
0.2833333333333333,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99935,0.0
0.3,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99933333333334,0.0
0.31666666666666665,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99931666666666,0.0
0.3333333333333333,0.0,25.0,0.0,25.0,23.0,1000.0,0.0,79.99929999999999,0.0
